ID,Name,SKU,Optional Offer Type,Categories,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Published,Additional Unit Price,Additional Unit Shipping Price,Bonus Shipping Price,Max Quantity Per Order,Continuity,Not Show To Customer
124,MainOfferFreeShippingKingBlueDISC,EBKGBLMAINB,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” BLUE - 50% OFF",King - $34.97,Blue,$34.97,$9.95,yes,0,,,,10,,
125,MainOfferFreeShippingKingBurgundyDISC,EBKGBRMAINB,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” BURGUNDY - 50% OFF",King - $34.97,Burgundy,$34.97,$9.95,yes,0,,,,10,,
126,MainOfferFreeShippingKingWhiteDISC,MainKingWhite,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” WHITE - 50% OFF",King - $34.97,White,$34.97,$9.95,yes,0,,,,10,,
127,MainOfferFreeShippingKingLavenderDISC,MainKingLav,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” LAVENDER - 50% OFF",King - $34.97,Lavender,$34.97,$9.95,yes,0,,,,10,,
128,MainOfferFreeShippingKingDarkGrayDISC,EBKGDKGRAYMAINB,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” DARK GRAY - 50% OFF",King - $34.97,Dark Gray,$34.97,$9.95,yes,0,,,,10,,
129,MainOfferFreeShippingKingSageGreenDISC,MainKingSGGREEN,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” SAGE GREEN - 50% OFF",King - $34.97,Sage Green,$34.97,$9.95,yes,0,,,,10,,
130,MainOfferFreeShippingKingSandShellDISC,MainKingSDSHELL,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” SAND SHELL - 50% OFF",King - $34.97,Sand Shell,$34.97,$9.95,yes,0,,,,10,,
131,MainOfferFreeShippingCaCreamDISC,EBCACRMAINB,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” CREAM - 50% OFF",California King - $39.97,Cream,$39.97,$9.95,yes,0,,,,10,,
132,MainOfferFreeShippingCaCamelDISC,EBCACMMAINB,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” CAMEL - 50% OFF",California King - $39.97,Camel,$39.97,$9.95,yes,0,,,,10,,
133,MainOfferFreeShippingCaBrownDISC,EBCABWMAINB,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” BROWN - 50% OFF",California King - $39.97,Brown,$39.97,$9.95,yes,0,,,,10,,
