ID,Name,SKU,Type,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
1,MainOfferFreeShippingTwinCream,EBTWCRMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” CREAM",Twin - $19.95,Cream,19.95,9.95,yes,0
2,MainOfferFreeShippingTwinCamel,EBTWCMMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” CAMEL",Twin - $19.95,Camel,19.95,9.95,yes,0
3,MainOfferFreeShippingTwinBrown,EBTWBWMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” BROWN",Twin - $19.95,Brown,19.95,9.95,yes,0
4,MainOfferFreeShippingTwinBlue,EBTWBLMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” BLUE",Twin - $19.95,Blue,19.95,9.95,yes,1
5,MainOfferFreeShippingTwinBurgundy,EBTWBRMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” BURGUNDY",Twin - $19.95,Burgundy,19.95,9.95,yes,0
6,MainOfferFreeShippingTwinWhite,MaintwinWhite,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” WHITE",Twin - $19.95,White,19.95,9.95,yes,1
7,MainOfferFreeShippingTwinLavender,MaintwinLav,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” LAVENDER",Twin - $19.95,Lavender,19.95,9.95,yes,1
8,MainOfferFreeShippingTwinDarkGray,EBTWDKGRAY,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” DARK GRAY",Twin - $19.95,Dark Gray,19.95,9.95,yes,1
9,MainOfferFreeShippingTwinSageGreen,EBTWSGGREEN,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” SAGE GREEN",Twin - $19.95,Sage Green,19.95,9.95,yes,1
10,MainOfferFreeShippingTwinSandShell,EBTWSDSHELL,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” SAND SHELL",Twin - $19.95,Sand Shell,19.95,9.95,yes,1
11,MainOfferFreeShippingTwinXLCream,MaintwinxlCream,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” CREAM",Twin XL - $39.95,Cream,39.95,9.95,yes,0
12,MainOfferFreeShippingTwinXLCamel,MaintwinXLCamel,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” CAMEL",Twin XL - $39.95,Camel,39.95,9.95,yes,0
