ID,Name,SKU,Type,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
42,MainOfferFreeShippingKingCamel,EBKGCMMAINB,King,King - $69.95,Camel,6995,995,yes,0
43,MainOfferFreeShippingKingBrown,EBKGBWMAINB,King,King - $69.95,Brown,6995,995,yes,1
44,MainOfferFreeShippingKingBlue,EBKGBLMAINB,King,King - $69.95,Blue,6995,995,yes,0
45,MainOfferFreeShippingKingBurgundy,EBKGBRMAINB,King,King - $69.95,Burgundy,6995,995,yes,1
46,MainOfferFreeShippingKingWhite,MainKingWhite,King,King - $69.95,White,6995,995,yes,0
47,MainOfferFreeShippingKingLavender,MainKingLav,King,King - $69.95,Lavender,6995,995,yes,1
48,MainOfferFreeShippingKingDarkGray,EBKGDKGRAYMAINB,King,King - $69.95,Dark Gray,6995,995,yes,1
49,MainOfferFreeShippingKingSageGreen,MainKingSGGREEN,King,King - $69.95,Sage Green,6995,995,yes,0
50,MainOfferFreeShippingKingSandShell,MainKingSDSHELL,King,King - $69.95,Sand Shell,6995,995,yes,0
51,MainOfferFreeShippingCaCream,EBCACRMAINB,California King,California King - $79.95,Cream,7995,995,yes,0
52,MainOfferFreeShippingCaCamel,EBCACMMAINB,California King,California King - $79.95,Camel,7995,995,yes,0
53,MainOfferFreeShippingCaBrown,EBCABWMAINB,California King,California King - $79.95,Brown,7995,995,yes,0
54,MainOfferFreeShippingCaBlue,EBCABLMAINB,California King,California King - $79.95,Blue,7995,995,yes,0
55,MainOfferFreeShippingCaBurgundy,EBCABRMAINA,California King,California King - $79.95,Burgundy,7995,995,yes,0
56,MainOfferFreeShippingCaWhite,MainCAWhite,California King,California King - $79.95,White,7995,995,yes,0
57,MainOfferFreeShippingCaLavender,MainCALav,California King,California King - $79.95,Lavender,7995,995,yes,1
58,MainOfferFreeShippingCaDarkGray,EBCADKGRAYMAINA,California King,California King - $79.95,Dark Gray,7995,995,yes,1
